lg1,1
lg2,1
kjv,1
8s3,1
1gmp,26
1d18,10
1pt0,2
1m65,1
166l,1
1bl,1
1hhm,1
1q9v,2
1lmo,1
1d0,1
1gmt,3
14tp,5
10oo,2
1n14,1
1r4t,4
1qmn,2
1mhm,3
1bt,6
1d6,25
1n18,33
1mhp,1
1scf,7
2wk,1
1c5i,1
1ne0,2
1fsg,2
jr3,2
1qmy,1
1oxf,1
1au1,2
1h5l,3
jr7,2
1n0d,4
14uc,2
1fso,2
17g3,2
1bp1,3
1m5m,12
yn,2
ivc,1
99v,1
1h5w,1
1s0i,3
1r71,3
1qni,1
1jxz,1
caz,8
1mii,1
1ndd,1
k8l,10
2xe,7
1qnn,6
122q,1
12fh,3
12fi,3
1ath,2
k8t,6
hba,12
an4,1
1s27,1
1rk1,4
1nf0,4
1mk8,1
1mk9,1
1ndr,4
1h6m,3
1fv0,1
60j,4
1hjc,2
1ndx,4
1ndy,4
1qob,4
1ndz,2
1ktm,1
1df,2
1atx,2
mbj,2
1oa8,6
1oa9,2
1atz,2
1m85,1
1bow,1
1rjc,13
1pto,9
8u8,4
1mji,1
1lq2,2
9nr,6
10qo,2
1s1n,2
1n1t,1
1s1p,4
19vo,1
1lq9,4
1m7a,1
1s1w,1
15s9,1
1ob0,1
1805,1
1ob1,1
124a,1
lhk,1
1dfb,2
1auu,2
1ob5,2
kmt,3
134,6
1dff,2
1mkc,1
1auy,2
1gr0,1
1m7p,2
1s2f,1
1n2k,3
1dfi,1
1h98,2
1m94,3
1qph,1
1lr1,11
1i48,1
1r95,2
1r7t,3
1oaa,2
1s41,1
1lr6,4
1oac,1
1lr7,4
1dfs,1
1qpq,3
1lr8,3
1qpr,1
1qr5,1
6et,24
1qr7,1
1bqe,8
1bqf,23
1mkv,1
1qpx,7
hdg,2
kno,1
h0t,14
1hla,4
16o7,4
1hlb,3
1hlc,3
hdk,3
1fd,6
m25,1
1n3g,1
1cn1,4
1r8m,2
1pvn,2
1pvo,2
1clr,1
1rld,1
1s3k,6
1s3l,1
1ngf,2
1m8y,1
15sl,6
1e09,2
1clx,2
1r8v,1
1ngi,1
13a,1
1h9a,2
1ii1,30
6h3,3
aq2,5
1ngl,4
13d,1
1di8,5
1ngm,4
koi,1
1mn9,1
1n4a,3
1brk,5
1igy,1
1brl,3
1h9n,1
1rlx,1
16p8,4
13p,2
1d4p,1
1ge,1
17it,2
1i60,1
1r9k,1
1pwk,1
1dhj,2
1gt4,2
1dhn,18
1go,18
1lrq,3
1lrr,3
1rmj,4
181h,1
